nse,bse,isin
BILPOWER,531590,INE952D01018
BINANIIND,500059,INE071A01013
BINDALAGRO,500063,INE143A01010
BIOCON,532523,INE376G01013
BIRLACABLE,500060,INE800A01015
BIRLACORPN,500335,INE340A01012
BIRLAMONEY,532974,INE865C01022
BLBLIMITED,532290,INE791A01024
BLISSGVS,506197,INE416D01022
BLKASHYAP,532719,INE350H01032
BLS,540073,INE153T01027
BLUEBLENDS,502761,INE113O01014
BLUECOAST,531495,INE472B01011
BLUEDART,526612,INE233B01017
BLUESTARCO,500067,INE472A01039
BODALCHEM,524370,INE338D01028
BOMDYEING,500020,INE032A01023
BOSCHLTD,500530,INE323A01026
BPCL,500547,INE029A01011
BPL,500074,INE110A01019
BRFL,532678,INE589G01011
BRIGADE,532929,INE791I01019
BRITANNIA,500825,INE216A01022
BROOKS,533543,INE650L01011
BSELINFRA,532123,INE395A01016
BSL,514045,INE594B01012
BSLIMITED,533276,INE043K01029
BURNPUR,532931,INE817H01014
BUTTERFLY,517421,INE295F01017
BVCL,532916,INE139I01011
BYKE,531373,INE319B01014
BYKE,531373,INE319B01014
CADILAHC,532321,INE010B01027
CALSOFT,532386,INE526B01014
CALSOFT,532386,INE526B01014
CAMLINFINE,532834,INE052I01032
CANBK,532483,INE476A01014
CANDC,532813,INE874H01015
CANFINHOME,511196,INE477A01012
CANTABIL,533267,INE068L01016
CAPF,532938,INE688I01017
CAPLIPOINT,524742,INE475E01026
CAPTRUST,511505,INE707C01018
CARBORUNIV,513375,INE120A01034
CAREERP,533260,INE521J01018
CARERATING,534804,INE752H01013
CASTEXTECH,532282,INE068D01021
CASTROLIND,500870,INE172A01027
CCCL,532902,INE429I01024
CCHHL,526550,INE652F01027
CCL,519600,INE421D01022
CCL,519600,INE421D01022
CEATLTD,500878,INE482A01020
CEBBCO,533272,INE209L01016
CELEBRITY,532695,INE185H01016
CELESTIAL,532871,INE221I01017
CENTENKA,500280,INE485A01015
CENTEXT,500083,INE281A01026
CENTRALBK,532885,INE483A01010
CENTUM,517544,INE320B01020
CENTURYPLY,532548,INE348B01021
CENTURYTEX,500040,INE055A01016
CERA,532443,INE739E01017
CEREBRAINT,532413,INE345B01019
CESC,500084,INE486A01013
CGCL,531595,INE180C01026
CGPOWER,500093,INE067A01029
CHAMBLFERT,500085,INE085A01013
CHENNPETRO,500110,INE178A01016
CHOLAFIN,511243,INE121A01016
CHROMATIC,530191,INE662C01015
CIGNITITEC,534758,INE675C01017
CIMMCO,505230,INE184C01028
CINELINE,532807,INE704H01022
CINEVISTA,532324,INE039B01026
CIPLA,500087,INE059A01026
CLEDUCATE,540403,INE201M01011
CLNINDIA,506390,INE492A01029
CMICABLES,517330,INE981B01011
CNOVAPETRO,533407,INE672K01025
COALINDIA,533278,INE522F01014
COFFEEDAY,539436,INE335K01011
COLPAL,500830,INE259A01022
COMPINFO,532456,INE070C01037
COMPUSOFT,532339,INE453B01029
CONCOR,531344,INE111A01017
CONSOFINVT,500226,INE025A01027
CONTROLPR,522295,INE663B01015
CORALFINAC,531556,INE558D01013
CORDSCABLE,532941,INE792I01017
COROMANDEL,506395,INE169A01031
CORPBANK,532179,INE112A01023
COSMOFILMS,508814,INE757A01017
COUNCODOS,531624,INE695B01025
COX&KINGS,533144,INE008I01026
CREATIVEYE,532392,INE230B01021
CREST,511413,INE559D01011
CRISIL,500092,INE007A01025
CROMPTON,539876,INE299U01018
CTE,532801,INE627H01017
CUB,532210,INE491A01021
CUBEXTUB,526027,INE144D01012
CUMMINSIND,500480,INE298A01020
CUPID,530843,INE509F01011
CURATECH,532332,INE117B01012
CYBERMEDIA,532640,INE278G01037
CYBERTECH,532173,INE214A01019
CYIENT,532175,INE136B01020
DAAWAT,532783,INE818H01020
DABUR,500096,INE016A01026
DALMIABHA,533309,INE439L01019
DALMIASUG,500097,INE495A01022
DAMODARIND,521220,INE497D01014
DATAMATICS,532528,INE365B01017
DBCORP,533151,INE950I01011
DBL,540047,INE917M01012
DBREALTY,533160,INE879I01012
DBSTOCKBRO,530393,INE921B01025
DCBBANK,532772,INE503A01015
DCM,502820,INE498A01018
DCMSHRIRAM,523367,INE499A01024
DCW,500117,INE500A01029
DECCANCE,502137,INE583C01013
DEEPAKFERT,500645,INE501A01019
DEEPAKNTR,506401,INE288B01029
DEEPIND,532760,INE677H01012
DELTACORP,532848,INE124G01033
DELTAMAGNT,504286,INE393A01011
DEN,533137,INE947J01015
DENABANK,532121,INE077A01010
DENORA,524168,INE244A01016
DFMFOODS,519588,INE456C01012
DHAMPURSUG,500119,INE041A01016
DHANBANK,532180,INE680A01011
DHANUKA,507717,INE435G01025
DHARSUGAR,507442,INE988C01014
DHFL,511072,INE202B01012
DHUNINV,533336,INE320L01011
DIAPOWER,522163,INE989C01012
DICIND,500089,INE303A01010
DIGJAMLTD,539979,INE731U01010
DISHTV,532839,INE836F01026
DIVISLAB,532488,INE361B01024
DLF,532868,INE271C01023
DLINKINDIA,533146,INE250K01012
DMART,540376,INE192R01011
DOLPHINOFF,522261,INE920A01011
DONEAR,512519,INE668D01028
DPL,523736,INE477B01010
DQE,533176,INE656K01010
DREDGECORP,523618,INE506A01018
DRREDDY,500124,INE089A01023
DSKULKARNI,523890,INE891A01014
DSSL,532365,INE417B01040
DTIL,538902,INE341R01014
DUCON,534674,INE741L01018
DWARKESH,532610,INE366A01033
DYNAMATECH,505242,INE221B01012
EASTSILK,590022,INE962C01027
EASUNREYRL,532751,INE268C01029
ECEIND,532487,INE588B01014
ECLERX,532927,INE738I01010
EDELWEISS,532922,INE532F01054
EDL,532920,INE180G01019
EDUCOMP,532696,INE216H01027
